,Equal Weight,Market Cap,Classical MV,BL Equilibrium,BL Momentum
2011-01-03,0.9942024103211738,0.9980596773757997,0.9901188383520244,0.9980904571107118,0.9993099040499352
2011-01-04,0.9879297844085145,0.9982114704684005,0.9934495564043381,0.9983344456181105,1.000489114545184
2011-01-05,0.9790120623538097,0.9938099414426783,1.0021688443694605,0.9939313836984719,0.996822560901267
2011-01-06,0.9731919794257301,0.9906186728234264,1.0124830442984947,0.9907809480922847,0.9945830265749619
2011-01-07,0.9713795891225987,0.9887595723337188,1.0197433365782422,0.9889836752503584,0.9925408385998188
2011-01-10,0.9793990965993234,0.9943462364129269,1.0350292288150944,0.9945787880071816,0.997583790398029
2011-01-11,0.9977397309937011,1.0072050061034912,1.0229430952565743,1.007635598859125,1.0100432991670791
2011-01-12,0.9998360097397104,1.0069956312230361,0.9840977128372985,1.0071138889917697,1.010127593204518
2011-01-13,1.0078194882663993,1.0143579846656252,0.9878416319903286,1.014438294346369,1.0168423491897793
2011-01-14,1.0129892162301173,1.017651107542256,0.9878895818930616,1.0178062722821937,1.0202149113074255
2011-01-18,1.005373118628093,1.0089846193088288,0.9765944415247556,1.0091726211430436,1.0115227778063702
2011-01-19,0.996254949916757,1.0043747806253138,0.950889486250566,1.0042089352830714,1.0071938217373084
2011-01-20,1.004023737654428,1.0081199643476224,0.9413866679505587,1.0082998312301492,1.0103068733242948
2011-01-21,1.0117192782043363,1.01492318808613,0.933313711364095,1.015395585907429,1.017731744294301
2011-01-24,1.0121159750932525,1.0152945612884017,0.9439444460245624,1.0157072798224396,1.0173662183814924
2011-01-25,1.0194057668025613,1.0202312274716898,0.9700676414575189,1.0207250313369285,1.0212424060722716
2011-01-26,1.0216235978467143,1.0226603844972526,0.9663336977227293,1.0231877090176846,1.0240840571910308
2011-01-27,1.0009452268884906,1.0036649906952366,0.966584412694744,1.003827372057427,1.0049433710849598
2011-01-28,1.0106864897208192,1.0117534717493049,0.9540093122121214,1.0113925191076505,1.01217941258724
2011-01-31,1.0313142732798461,1.029985120478605,0.9519282701717647,1.02923758236172,1.0301906102872909
2011-02-01,1.0276950738153943,1.0284403991178508,0.9507144224626571,1.0275628361074625,1.0297597773735874
2011-02-02,1.0288257337817528,1.0300843493604863,0.9584730268761944,1.0292872422580854,1.0318555915302268
2011-02-03,1.0288951868257796,1.031798103549618,0.9606755006410848,1.030986379130887,1.0337954450962048
2011-02-04,1.0324511141503405,1.0369979947016246,0.968540384402138,1.0361679278307427,1.039102017017109
2011-02-07,1.0388247413672034,1.0426589998366687,0.9708585095833998,1.0417722038292063,1.0445312939644276
2011-02-08,1.037686473754375,1.0407871189385425,0.9770019822437537,1.0398757487797758,1.0419670373366614
2011-02-09,1.0316048452911981,1.0385886697574434,0.9748549105421802,1.0375575992699988,1.0406493966011268
2011-02-10,1.034061277200043,1.0427899358741928,0.9881616174056572,1.0417751701410134,1.0445898879935316
2011-02-11,1.0353343520525744,1.044966046184032,0.9971365616498562,1.0439208276837215,1.0475631137843744
2011-02-14,1.0316176906282906,1.0417992201771082,0.9866552594865173,1.040992658003537,1.0450391022311443
2011-02-15,1.0428136735121918,1.0504422676936966,0.9851090004344506,1.0496476807818673,1.0534547856324548
2011-02-16,1.0511700333952767,1.0574791994799253,0.9831695373649263,1.0567564237450433,1.0612179383625566
2011-02-18,1.0249032051163747,1.0336787237820404,0.980106652466774,1.032851779171821,1.0373133187192611
2011-02-22,1.0248296734369429,1.029989041309912,0.9569484466063943,1.0292478798557418,1.0341687774031045
2011-02-23,1.025253369604532,1.0292223432417753,0.944384001622682,1.0283593076113353,1.0326114054758369
2011-02-24,1.037579158811785,1.041187002726874,0.9414147654598947,1.0403411167094923,1.0451195036486673
2011-02-25,1.0491284878576055,1.049548279158861,0.9592068096184124,1.0485537260396034,1.0519225681217954
2011-02-28,1.035228938982888,1.0338581894286212,0.9488165939072534,1.0327941700615277,1.0362438004917665
2011-03-01,1.0399291009917238,1.0368381734426324,0.9532144888303381,1.0355110615274234,1.038668133805439
2011-03-02,1.0532131408314296,1.0523684066713554,0.9670700912236245,1.050971768587398,1.054158355099472
2011-03-03,1.045936109126066,1.0450405216318532,0.9661277029697299,1.0438110696435927,1.0475451924276369
2011-03-04,1.0356645296446194,1.0351784222386913,0.9652219566950881,1.033878135631534,1.0365127686591395
2011-03-07,1.0384620686066888,1.0415370148684509,0.9581982158843494,1.0403912348436466,1.0435793310814143
2011-03-08,1.037729364790777,1.0401318085568156,0.9542029628169837,1.0389434845275,1.0416034335056774
2011-03-09,1.0124956165922627,1.0181582342016007,0.9350491193614026,1.0169930731226615,1.0199957326067104
2011-03-10,1.014567751131245,1.0219906567700578,0.9332217146810171,1.0212748816659558,1.0246660980954434
2011-03-11,1.0016734323727827,1.0106967180524598,0.9210101912565081,1.009364692292221,1.0125172799588333
2011-03-14,0.9790192639101607,0.9950792949418169,0.8958395621386797,0.9929102105021006,0.9985097149507999
2011-03-15,0.9520697171343256,0.9718020858649478,0.8988433118797523,0.9694894468935273,0.9763284576415335
2011-03-16,0.9792027841300565,0.9923186048279131,0.8991624317775107,0.9889733935901687,0.9940931001155657
2011-03-17,0.9947771012562304,1.0008995399626883,0.8701938092507352,0.9972940390512949,1.0033446187114394
2011-03-18,1.018228618244529,1.020208582358347,0.8803700432365612,1.0164356230482599,1.0216528317566764
2011-03-21,1.0142917317114304,1.0166194577381447,0.87253865893622,1.0128977356478537,1.0184035060860246
2011-03-22,1.0160356648707802,1.0186377724130895,0.869550329328095,1.014899451153397,1.0201056595496243
2011-03-23,1.0300116259808214,1.0293930927870822,0.8788076740840003,1.0255619000000704,1.0306924242550242
2011-03-24,1.0226024051544091,1.0271930283932578,0.8837242094487142,1.0227919650486281,1.0287278738319345
2011-03-25,1.0216671249425404,1.0251138063057834,0.8739158690337712,1.0207332540499392,1.0267669216962574
2011-03-28,1.0287684112546975,1.0315836250255714,0.8749121340448127,1.027165465338101,1.0324656562597994
2011-03-29,1.0391412700769744,1.0401534324727382,0.8881020224985817,1.0358201852516173,1.0408165500492543
