,Equal Weight,Market Cap,Classical MV,BL Equilibrium,BL Momentum
Ann. Return,0.06998293227695895,0.10626243418858716,7.760326028973017,0.1085955043756699,0.1425718549909023
Ann. Vol,0.18464102309671518,0.16998027109011915,4.317405760498733,0.16792387521592664,0.2154359687154539
Sharpe,0.36634706669781364,0.5941110493215969,0.5026706412520124,0.6139323704629299,0.6186605485346004
Max Drawdown,-0.3615253856001528,-0.3431148566478842,-0.9995621496033891,-0.3238304316730074,-0.35687145694364253
Total Return,1.8031558230083053,3.659238019146973,230257417279646.72,3.811239334623232,6.621397600519408
