,Equal Weight,Market Cap,Classical MV,BL Equilibrium,BL Momentum
2011-01-03,-0.005797589678826235,-0.0019403226242003632,-0.009881161647975657,-0.0019095428892882743,-0.0006900959500647091
2011-01-04,-0.006309204089168292,0.00015208819276226257,0.0033639578637424377,0.00024445530528887987,0.0011800248256018842
2011-01-05,-0.009026675979856203,-0.004409415395374001,0.00877677976593097,-0.00441040769349847,-0.0036647611559310735
2011-01-06,-0.005944853134992563,-0.0032111457997886774,0.010291878446414694,-0.003169671124041108,-0.0022466729929148293
2011-01-07,-0.0018623152897343242,-0.0018767064872792017,0.007170779126259733,-0.0018139961667479,-0.0020533107046636365
2011-01-10,0.008255791625154853,0.00565017445648812,0.014989940790536718,0.005657436919175516,0.0050808506835087934
2011-01-11,0.018726415470526985,0.012931883502623878,-0.011677093962222032,0.013127980416820485,0.012489686469423054
2011-01-12,0.002101027633651143,-0.00020787712450426386,-0.037974138150404714,-0.0005177564865176351,8.345586521724778e-05
2011-01-13,0.007984787954143964,0.007311206935076107,0.003804418102177864,0.0072726683989353755,0.006647433483090748
2011-01-14,0.005129616983901251,0.003246509542404146,4.854007077674822e-05,0.0033200421894511323,0.003316701079900227
2011-01-18,-0.0075184389724975926,-0.008516168428645308,-0.011433606118875705,-0.008482607519986172,-0.008519904389474304
2011-01-19,-0.009069437547503192,-0.004568789846046348,-0.02632101328987334,-0.0049185696836980385,-0.004279642697171791
2011-01-20,0.007797991606787286,0.003728870730880892,-0.009993609601761112,0.004073749797819311,0.00309081680189094
2011-01-21,0.007664699808678,0.0067484267538638785,-0.008575601143830646,0.007037345894051268,0.00734912447499807
2011-01-24,0.0003921017395460839,0.00036591261942889314,0.011390312315170013,0.00030696796335996955,-0.000359157425183947
2011-01-25,0.00720252608268267,0.004862299446402435,0.027674505150143906,0.004940155115720169,0.003810022016404072
2011-01-26,0.0021756116321663996,0.0023809867411946958,-0.0038491581155923513,0.00241267491748563,0.0027825432060624477
2011-01-27,-0.02024069432402281,-0.01857448874520976,0.0002594496834846501,-0.01892158866807015,-0.01869054202305644
2011-01-28,0.0097320638239218,0.008058945095280733,-0.013009831647879134,0.0075363028154116505,0.007200447020679477
2011-01-31,0.02040967576871942,0.018019852897344577,-0.0021813644937398393,0.017644053042644874,0.017794471490002343
2011-02-01,-0.003509308033662683,-0.0014997511420712878,-0.0012751461923581615,-0.0016271716880125987,-0.0004182069894651814
2011-02-02,0.0011001901197802177,0.0015984885891739845,0.008160814888492096,0.001678151534902928,0.00203524569777307
2011-02-03,6.750710226852715e-05,0.0016637027736570746,0.0022978985356204825,0.001650789792239132,0.001879966132762165
2011-02-04,0.003456063717754592,0.005039640152582075,0.008186826619191262,0.005025816833995172,0.005133096635389392
2011-02-07,0.0061732968559079825,0.005459031901670024,0.002393421295171748,0.005408656114454653,0.005224970078399005
2011-02-08,-0.0010957263217761996,-0.0017952953922801957,0.0063278764101167,-0.001820412411139274,-0.0024549351872779875
2011-02-09,-0.005860757191113127,-0.0021122947633531613,-0.0021976124312896137,-0.0022292562476789127,-0.0012645704598320147
2011-02-10,0.0023811752339641993,0.004045168447418732,0.013649935718204874,0.004064902877663994,0.0037865696220791816
2011-02-11,0.0012311406302522913,0.002086815603964552,0.00908246595102731,0.0020596167044542074,0.0028463091831704692
2011-02-14,-0.0035898175472643887,-0.0030305539768381035,-0.010511400911823681,-0.002804972946733556,-0.002409412397227468
2011-02-15,0.010852841111209084,0.008296269904213636,-0.0015671725632633233,0.008314201557318789,0.008052984221684347
2011-02-16,0.00801328185018975,0.006699018120890093,-0.0019687801742436744,0.006772503853750988,0.0073692320125928416
2011-02-18,-0.024988182163127513,-0.022506802696062537,-0.003115317126648886,-0.022620770535282445,-0.02252564603287801
2011-02-22,-7.174499900549557e-05,-0.003569467366638438,-0.023628250866468654,-0.003489270569847788,-0.003031428652665028
2011-02-23,0.00041343081545279665,-0.0007443749762246716,-0.013129698917710146,-0.0008633219089370904,-0.0015059165982349843
2011-02-24,0.012022188439144184,0.011624951171787865,-0.0031440983304307354,0.011651383917541724,0.012113073811214445
2011-02-25,0.011131034145911814,0.00803052324903109,0.018899261846425517,0.0078941504841095,0.006509365148557255
2011-02-28,-0.013248662137753369,-0.01494937397526342,-0.010832091272676031,-0.0150298030388959,-0.01490486857604308
2011-03-01,0.0045402150498746185,0.0028823914580182433,0.004635137023662383,0.002630622387938095,0.002339539510414602
2011-03-02,0.012773986060239642,0.014978454330204638,0.014535660709782575,0.01493050884185576,0.014913542439470464
